"2009","CINEMATOGRAPHY","AVATAR",1
"2009","CINEMATOGRAPHY","HARRY POTTER AND THE HALF-BLOOD PRINCE",0
"2009","CINEMATOGRAPHY","THE HURT LOCKER",0
"2009","CINEMATOGRAPHY","INGLOURIOUS BASTERDS",0
"2009","CINEMATOGRAPHY","THE WHITE RIBBON",0
"2009","COSTUME DESIGN","BRIGHT STAR",0
"2009","COSTUME DESIGN","COCO BEFORE CHANEL",0
"2009","COSTUME DESIGN","THE IMAGINARIUM OF DOCTOR PARNASSUS",0
"2009","COSTUME DESIGN","NINE",0
"2009","COSTUME DESIGN","THE YOUNG VICTORIA",1
"2009","DIRECTING","AVATAR",0
"2009","DIRECTING","THE HURT LOCKER",1
"2009","DIRECTING","INGLOURIOUS BASTERDS",0
"2009","DIRECTING","PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE",0
"2009","DIRECTING","UP IN THE AIR",0
"2009","DOCUMENTARY (FEATURE)","BURMA VJ",0
"2009","DOCUMENTARY (FEATURE)","THE COVE",1
"2009","DOCUMENTARY (FEATURE)","FOOD, INC.",0
"2009","DOCUMENTARY (FEATURE)","THE MOST DANGEROUS MAN IN AMERICA: DANIEL ELLSBERG AND THE PENTAGON PAPERS",0
"2009","DOCUMENTARY (FEATURE)","WHICH WAY HOME",0
"2009","DOCUMENTARY (SHORT SUBJECT)","CHINA'S UNNATURAL DISASTER: THE TEARS OF SICHUAN PROVINCE",0
"2009","DOCUMENTARY (SHORT SUBJECT)","THE LAST CAMPAIGN OF GOVERNOR BOOTH GARDNER",0
"2009","DOCUMENTARY (SHORT SUBJECT)","THE LAST TRUCK: CLOSING OF A GM PLANT",0
"2009","DOCUMENTARY (SHORT SUBJECT)","MUSIC BY PRUDENCE",1
"2009","DOCUMENTARY (SHORT SUBJECT)","RABBIT À LA BERLIN",0
"2009","FILM EDITING","AVATAR",0
"2009","FILM EDITING","DISTRICT 9",0
"2009","FILM EDITING","THE HURT LOCKER",1
"2009","FILM EDITING","INGLOURIOUS BASTERDS",0
"2009","FILM EDITING","PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE",0
"2009","MAKEUP","IL DIVO",0
"2009","MAKEUP","STAR TREK",1
"2009","MAKEUP","THE YOUNG VICTORIA",0
"2009","MUSIC (SCORING)","AVATAR",0
"2009","MUSIC (SCORING)","FANTASTIC MR. FOX",0
"2009","MUSIC (SCORING)","THE HURT LOCKER",0
"2009","MUSIC (SCORING)","SHERLOCK HOLMES",0
"2009","MUSIC (SCORING)","UP",1
"2009","MUSIC (SONG)","THE PRINCESS AND THE FROG",0
"2009","MUSIC (SONG)","THE PRINCESS AND THE FROG",0
"2009","MUSIC (SONG)","PARIS 36",0
"2009","MUSIC (SONG)","NINE",0
"2009","MUSIC (SONG)","CRAZY HEART",1
"2009","BEST PICTURE","AVATAR",0
"2009","BEST PICTURE","THE BLIND SIDE",0
"2009","BEST PICTURE","DISTRICT 9",0
"2009","BEST PICTURE","AN EDUCATION",0
"2009","BEST PICTURE","THE HURT LOCKER",1
"2009","BEST PICTURE","INGLOURIOUS BASTERDS",0
"2009","BEST PICTURE","PRECIOUS: BASED ON THE NOVEL 'PUSH' BY SAPPHIRE",0
"2009","BEST PICTURE","A SERIOUS MAN",0
"2009","BEST PICTURE","UP",0
"2009","BEST PICTURE","UP IN THE AIR",0
"2009","SHORT FILM (ANIMATED)","FRENCH ROAST",0
"2009","SHORT FILM (ANIMATED)","GRANNY O'GRIMM'S SLEEPING BEAUTY",0
"2009","SHORT FILM (ANIMATED)","THE LADY AND THE REAPER (LA DAMA Y LA MUERTE)",0
"2009","SHORT FILM (ANIMATED)","LOGORAMA",1
"2009","SHORT FILM (ANIMATED)","A MATTER OF LOAF AND DEATH",0
"2009","SHORT FILM (LIVE ACTION)","THE DOOR",0
"2009","SHORT FILM (LIVE ACTION)","INSTEAD OF ABRACADABRA",0
"2009","SHORT FILM (LIVE ACTION)","KAVI",0
"2009","SHORT FILM (LIVE ACTION)","MIRACLE FISH",0
"2009","SHORT FILM (LIVE ACTION)","THE NEW TENANTS",1
"2009","SOUND","AVATAR",0
"2009","SOUND","THE HURT LOCKER",1
"2009","SOUND","INGLOURIOUS BASTERDS",0
"2009","SOUND","STAR TREK",0
"2009","SOUND","TRANSFORMERS: REVENGE OF THE FALLEN",0
